<span style='position: relative;float:left;top:12px;'>If </span><span style='margin-left:50px;'><span style='float: left;margin-left: 50px;margin-top: -18px;'><table><tbody><tr style='text-align:center'><td><span>4x</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x+1)(x-1)(x-1)</span></span></td></tr></tbody></table></span><span style='position: relative;top: 12px;'> = </span><span style='margin-left:20px;'> A<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x+1)</span> + B<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x-1)</span> + C<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x-1)<sup>2</sup></span></span><br/><br/><div style='clear:both'></div> then find the value of A and C,4,"-1, -1","-1, 2","-1, 1","1, 2",2,Rearrange the equation in the form<br/> 4x = A(x-1)(x-1) + B(x+1)(x-1) + C(x+1),Substitute the values of x such that terms B and C are removed from the<br/> equation to get A. Similarly substitute a different value of x to get the value of C,"Based on the above hint , you need to substitute the value of x = -1 to get the<br/> value of A Similarly substituting the value of x = 1 will get you the value of C",7,1,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one
<span style='position: relative;float:left;top:12px;'>If </span><span style='margin-left:50px;'><span style='float: left;margin-left: 50px;margin-top: -18px;'><table><tbody><tr style='text-align:center'><td><span>-2x+1</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x+9)(x-9)(x-9)</span></span></td></tr></tbody></table></span><span style='position: relative;top: 12px;'> = </span><span style='margin-left:20px;'> A<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x+9)</span> + B<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x-9)</span> + C<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x-9)<sup>2</sup></span></span><br/><br/><div style='clear:both'></div> then find the value of A,4,-17<span>/</span>18,1<span>/</span>17,-7,-1<span>/</span>17,2,Rearrange the equation in the form<br/> -2x+1 = A(x-9)(x-9) + B(x+9)(x-9) + C(x+9),Substitute the values of x such that terms B and C are removed from the<br/> equation,"Based on the above hint , you need to substitute the value of x = -9 to get the<br/> value of A",7,1,The selected answer is the value of C and not A. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,The selected answer is the value of B and not A. Let's try the next one
<span style='position: relative;float:left;top:12px;'>If </span><span style='margin-left:50px;'><span style='float: left;margin-left: 50px;margin-top: -18px;'><table><tbody><tr style='text-align:center'><td><span>-8x</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x-1)(x+2)(x+2)</span></span></td></tr></tbody></table></span><span style='position: relative;top: 12px;'> = </span><span style='margin-left:20px;'> A<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x-1)</span> + B<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x+2)</span> + C<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x+2)<sup>2</sup></span></span><br/><br/><div style='clear:both'></div> then find the value of A,4,-8<span>/</span>9,-16<span>/</span>3,16,-36,1,Rearrange the equation in the form<br/> -8x = A(x+2)(x+2) + B(x-1)(x+2) + C(x-1),Substitute the values of x such that terms B and C are removed from the<br/> equation,"Based on the above hint , you need to substitute the value of x = 1 to get the<br/> value of A",7,1,Your answer is correct! Let's try the next one,The selected answer is the value of C and not A. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>2x</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x-12)(x+4)<sup>2</sup></span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"14, -1<span>/</span>2","1<span>/</span>2, 3<span>/</span>32","3<span>/</span>32, -39","3<span>/</span>32, -15",2,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> 2x = A(x+4)(x+4) + B(x-12)(x+4) + C(x-12),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,2,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one
<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>-8x<sup>2</sup>+6</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x-12)(x-2)<sup>2</sup></span></span></td></tr></tbody></table>can be resolved to partial fractions such  <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>that one of the terms in its partial fractions is<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> A</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x-12)</span></span><span>then find the value of A</span></p>,4,13<span>/</span>5,173<span>/</span>50,-13<span>/</span>5,-573<span>/</span>50,4,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> -8x<sup>2</sup>+6 = A(x-2)(x-2) + B(x-12)(x-2) + C(x-12),Substitute the values of x such that terms B and C are removed from the<br/> equation,7,2,The selected answer is the value of C and not A. Let's try the next one,The selected answer is the value of B and not A. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>10</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x+2)(x+7)<sup>2</sup></span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"2, 20","2<span>/</span>5, -2","-2, -15","2<span>/</span>5, 2",2,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,"Based on the above hint , you need to substitute the value of<br/> x = -2 to get the value of A . Substitute the value of A in the<br/> equation and put x = -7 to get the value of C.<br/>Now put the values of A and C in the equation to get the value of B ",Substitute the value of x such that terms B and C are removed <br/>from the equation to get A. Now use this value of A in the<br/> equation and substitute a new value of x to derive the value of C. <br/> Use the values of A and C in equation 1 to derive the value of B,7,2,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>-12x<sup>2</sup>+7</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x-7)(x+4)<sup>2</sup></span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"-691<span>/</span>96, -185<span>/</span>11","461<span>/</span>96, 691<span>/</span>96","-691<span>/</span>96, -461<span>/</span>96","185<span>/</span>11, -15",3,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> -12x<sup>2</sup>+7 = A(x+4)(x+4) + B(x-7)(x+4) + C(x-7),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,2,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>-3x<sup>2</sup></span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x+2)(x+5)<sup>2</sup></span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"-5<span>/</span>3, -4<span>/</span>3","-4<span>/</span>3, 5<span>/</span>3","25, -15","5<span>/</span>3, 4<span>/</span>3",1,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> -3x<sup>2</sup> = A(x+5)(x+5) + B(x+2)(x+5) + C(x+2),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,2,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>7x+1</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x<sup>3</sup>-17x<sup>2</sup>+40x+300)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"11<span>/</span>93, -42","-11<span>/</span>93, -15","11<span>/</span>93, 71<span>/</span>13","-71<span>/</span>13, 31",3,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> 7x+1 = A(x-10)(x-10) + B(x+3)(x-10) + C(x+3),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,3,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>4x<sup>2</sup></span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x<sup>3</sup>-17x<sup>2</sup>+75x-99)</span></span></td></tr></tbody></table>can be resolved to partial fractions such  <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>that one of the terms in its partial fractions is<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> A</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x-11)</span></span><span>then find the value of A</span></p>,4,-57<span>/</span>16,121<span>/</span>16,-9<span>/</span>2,57<span>/</span>16,2,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> 4x<sup>2</sup> = A(x-3)(x-3) + B(x-11)(x-3) + C(x-11),Substitute the values of x such that terms B and C are removed from the<br/> equation,7,3,The selected answer is the value of B and not A. Let's try the next one,Your answer is correct! Let's try the next one,The selected answer is the value of C and not A. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
