"<span style='position: relative;float:left;top:12px;'>If </span><span style='margin-left:50px;'><span style='float: left;margin-left: 50px;margin-top: -18px;'><table><tbody><tr style='text-align:center'><td><span>9x<sup>2</sup>+6x</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x+6)(-4x<sup>2</sup>-13x+58)</span></span></td></tr></tbody></table></span><span style='position: relative;top: 12px;'> = </span><span style='margin-left:20px;'> A<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x+6)</span> + <span style='margin-left:35px'>Bx+C</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -100px;'>(-4x<sup>2</sup>-13x+58)</span></span><br/><br/><div style='clear:both'></div> then find the value of A,B and C",4,"-155<span>/</span>88, -46, -46","-107<span>/</span>81, 353<span>/</span>95, -155<span>/</span>88","-155<span>/</span>88, -107<span>/</span>81, -46","-107<span>/</span>81, -155<span>/</span>88, -353<span>/</span>95",2,Rearrange the equation in the form<br/> 9x<sup>2</sup>+6x = A(-4x<sup>2</sup>-13x+58) + Bx(x+6) + C(x+6),Substitute the value of x such that terms B and C are removed from the equation to get A. Now use this value of A in the equation and substitute a new value of x to derive the value of C.Use the values of A and C in equation 1 to derive the value of B,"Based on the above hint , you need to substitute the value of x = -6 to get the value of A . Substitute the value of A in the equation and put x = 0 to get the value of C. Now put the values of A and C in the equation to get the value of B",7,1,You've got one of the coefficients correct i.e. VALUE OF C but the other two coefficients are incorrect. Let's try the next one,Your answer is correct! Let's try the next one,You've got two of the coefficients correct i.e.  VALUES OF A and C but the third coefficient is incorrect. Let's try the next one,You've got two of the coefficients correct i.e.  VALUES OF A and C but the third coefficient is incorrect. Let's try the next one
<span style='position: relative;float:left;top:12px;'>If </span><span style='margin-left:50px;'><span style='float: left;margin-left: 50px;margin-top: -18px;'><table><tbody><tr style='text-align:center'><td><span>-12x<sup>2</sup></span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x-10)(x<sup>2</sup>-11x+22)</span></span></td></tr></tbody></table></span><span style='position: relative;top: 12px;'> = </span><span style='margin-left:20px;'> A<span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -25px;'>(x-10)</span> + <span style='margin-left:35px'>Bx+C</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -100px;'>(x<sup>2</sup>-11x+22)</span></span><br/><br/><div style='clear:both'></div> then find the value of A,4,-4<span>/</span>17,-240<span>/</span>17,240<span>/</span>17,-200<span>/</span>17,4,Rearrange the equation in the form<br/> -12x<sup>2</sup> = A(x<sup>2</sup>-11x+22) + Bx(x-10) + C(x-10),Substitute the values of x such that terms B and C are removed from the<br/> equation,"Based on the above hint , you need to substitute the value of x = 10 to get the<br/> value of A",7,1,The selected answer is the value of B and not A. Let's try the next one,The selected answer is the value of C and not A. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>-6x<sup>2</sup></span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x+5)(-8x<sup>2</sup>+3x-6)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:35px;'> </span></span><span></span></p>",4,"79<span>/</span>97, 57<span>/</span>100","-57<span>/</span>100, -46","-19<span>/</span>28, 57<span>/</span>100","-57<span>/</span>100, 19<span>/</span>28",4,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> -6x<sup>2</sup> = A(-8x<sup>2</sup>+3x-6) + Bx(x+5) + C(x+5),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,2,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one
<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>-10x</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x-1)(11x<sup>2</sup>-7x+10)</span></span></td></tr></tbody></table>can be resolved to partial fractions such that <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>one of the terms in its partial fractions is<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:35px;'> (Bx+C)</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -100px;'>(11x<sup>2</sup>-7x+10)</span></span><span>then find the value of B</span></p>,4,-5<span>/</span>7,-50<span>/</span>7,5<span>/</span>7,55<span>/</span>7,4,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> -10x = A(11x<sup>2</sup>-7x+10) + Bx(x-1) + C(x-1),Substitute the values of x such that terms A and C are removed from the<br/> equation,7,2,The selected answer is the value of A and not B. Let's try the next one,The selected answer is the value of C and not B. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>x</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(x-6)(10x<sup>2</sup>+9x+11)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains all the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:35px;'> </span></span><span></span></p>",4,"1<span>/</span>71, 2<span>/</span>77, 12<span>/</span>85","1<span>/</span>71, -12<span>/</span>85, 2<span>/</span>77","1<span>/</span>71, -46, -46","2<span>/</span>77, 1<span>/</span>71, -46",2,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> x = A(10x<sup>2</sup>+9x+11) + Bx(x-6) + C(x-6),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,2,You've got two of the coefficients correct i.e.  VALUES OF A and C but the third coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the other two coefficients are incorrect. Let's try the next one,You've got two of the coefficients correct i.e.  VALUES OF A and C but the third coefficient is incorrect. Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>-5x+7</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(-12x<sup>3</sup>+51x<sup>2</sup>+38x+35)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"78<span>/</span>53, -5<span>/</span>98","-78<span>/</span>53, -46","5<span>/</span>98, -78<span>/</span>53","27<span>/</span>44, -5<span>/</span>98",3,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> -5x+7 = A(-12x<sup>2</sup>+51x+38) + Bx(x-5) + C(x-5),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,3,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>-11x</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(7x<sup>3</sup>-53x<sup>2</sup>+33x-35)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"-32<span>/</span>19, 11<span>/</span>64","-13<span>/</span>54, 32<span>/</span>19","32<span>/</span>19, 13<span>/</span>54","32<span>/</span>19, -46",2,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> -11x = A(7x<sup>2</sup>-53x+33) + Bx(x-7) + C(x-7),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,3,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>-4x<sup>2</sup>+11x+5</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(7x<sup>3</sup>-26x<sup>2</sup>-4x-16)</span></span></td></tr></tbody></table>can be resolved to partial fractions such that <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>one of the terms in its partial fractions is<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> (Bx+C)</span><span style='border-top: 1px solid;position: relative;top: 29px;margin-left: -75px;'>(7x<sup>2</sup>+-26x+4)</span></span><span>then find the value of B</span></p>,4,11<span>/</span>91,-85<span>/</span>62,-309<span>/</span>98,-11<span>/</span>91,3,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> -4x<sup>2</sup>+11x+5 = A(7x<sup>2</sup>-26x-4) + Bx(x-4) + C(x-4),Substitute the values of x such that terms A and C are removed from the<br/> equation,7,3,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,The selected answer is the value of C and not B. Let's try the next one,Your answer is correct! Let's try the next one,The selected answer is the value of A and not B. Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>11x+3</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(-10x<sup>3</sup>-83x<sup>2</sup>-30x-48)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"13<span>/</span>95, -32<span>/</span>67","41<span>/</span>30, 13<span>/</span>95","-32<span>/</span>67, -41<span>/</span>30","32<span>/</span>67, -46",2,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> 11x+3 = A(-10x<sup>2</sup>-83x-30) + Bx(x+8) + C(x+8),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,3,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one
"<span style='float:left;'>If </span><table style='float: left;position: relative; bottom: 31px; margin-left: 15px; margin-right: 15px;'><tbody><tr style='text-align:center'><td><span>9x+7</span></td></tr><tr><td style='padding:0px;height:1px;background:#8C9009;'></td></tr><tr><td><span>(-2x<sup>3</sup>-18x<sup>2</sup>-50x-50)</span></span></td></tr></tbody></table>can be resolved to partial fractions, <br/><p style='position: relative;margin-top: 80px;bottom: 40px;'>which of the following options contains all the correct coefficients of its partial fractions<span  style='position: relative;bottom: 12px;margin-right: 10px;'><span style='margin-left:20px;'> </span></span><span></span></p>",4,"19<span>/</span>5, -46, -46","19<span>/</span>10, 19<span>/</span>5, 26<span>/</span>5","19<span>/</span>5, 26<span>/</span>5, -19<span>/</span>10","19<span>/</span>10, 19<span>/</span>5, -46",2,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> 9x+7 = A(-2x<sup>2</sup>-18x-50) + Bx(x+5) + C(x+5),Substitute the value of x such that any two of the three terms of the<br/> equation shown in the previous hint are removed to get one coefficient.<br/> Repeat this step with appropriate values of x to find the coefficients<br/> of the other two terms as well,7,3,You've got one of the coefficients correct i.e. VALUE OF B but the other two coefficients are incorrect. Let's try the next one,Your answer is correct! Let's try the next one,You've got two of the coefficients correct i.e.  VALUES OF B and C but the third coefficient is incorrect. Let's try the next one,You've got two of the coefficients correct i.e.  VALUES OF A and B but the third coefficient is incorrect. Let's try the next one
