"If  $\frac{3x }{\left( x -4\right) \left( x -7\right) \left( x -11\right)} = \frac{A}{(x-4)} + \frac{B}{(x-7)} + \frac{C}{(x-11)}$  , then find the value of A",4,$\frac{33}{28}$,$\frac{4}{7}$,$\frac{-7}{4}$,$\frac{7}{4}$,2,Rearrange the equation in the form<br/> $3x  = A(x-7)(x-11) + B(x-4)(x-11) + C(x-4)(x-7)$,Substitute the values of x such that terms B and C are removed from the<br/> equation,"Based on the above hint , you need to substitute the value of x = 4 to get the<br/> value of A",7,1,The selected answer is the value of C and not A. Let's try the next one,Your answer is correct! Let's try the next one,The selected answer is the value of B and not A. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"If  $\frac{-5x }{\left( x -7\right) \left( x  + 9\right) \left( x  + 4\right)} = \frac{A}{(x-7)} + \frac{B}{(x+9)} + \frac{C}{(x+4)}$  , then find the value of A",4,$-\frac{9}{16}$,$\frac{9}{16}$,$\frac{-4}{11}$,$\frac{-19}{96}$,4,Rearrange the equation in the form<br/> $-5x  = A(x+9)(x+4) + B(x-7)(x+4) + C(x-7)(x+9)$,Substitute the values of x such that terms B and C are removed from the<br/> equation,"Based on the above hint , you need to substitute the value of x = 7 to get the<br/> value of A",7,1,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,The selected answer is the value of B and not A. Let's try the next one,The selected answer is the value of C and not A. Let's try the next one,Your answer is correct! Let's try the next one
"If  $\frac{8x^{2} -12x  + 2}{\left( x -9\right)\left(x^{2} + 12 x  + 20\right)}$  can be resolved to partial fractions such that one of the terms in its partial fractions is $\frac{B}{(x+10)}$  , then find the value of B",4,$\frac{-29}{44}$,$-\frac{461}{76}$,$\frac{461}{76}$,$\frac{153}{59}$,3,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> $8x^{2} -12x  + 2 = A(x+10)(x+2) + B(x-9)(x+2) + C(x-9)(x+10)$,Substitute the values of x such that terms A and C are removed from the<br/> equation,7,2,The selected answer is the value of C and not B. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one,The selected answer is the value of A and not B. Let's try the next one
"If  $\frac{11x^{2} }{\left( x  + 8\right)\left(x^{2} + 13 x  + 42\right)}$  can be resolved to partial fractions such that one of the terms in its partial fractions is $\frac{B}{(x+7)}$  , then find the value of B",4,$198$,$-539$,$352$,$-352$,2,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> $11x^{2}  = A(x+7)(x+6) + B(x+8)(x+6) + C(x+8)(x+7)$,Substitute the values of x such that terms A and C are removed from the<br/> equation,7,2,The selected answer is the value of C and not B. Let's try the next one,Your answer is correct! Let's try the next one,The selected answer is the value of A and not B. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"If  $\frac{-12x -2}{\left( x -11\right)\left(x^{2}- x -30\right)}$  can be resolved to partial fractions such that one of the terms in its partial fractions is $\frac{B}{(x-6)}$  , then find the value of B",4,$\frac{67}{40}$,$\frac{29}{88}$,$\frac{74}{55}$,$\frac{-67}{40}$,3,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> $-12x -2 = A(x-6)(x+5) + B(x-11)(x+5) + C(x-11)(x-6)$,Substitute the values of x such that terms A and C are removed from the<br/> equation,7,2,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,The selected answer is the value of C and not B. Let's try the next one,Your answer is correct! Let's try the next one,The selected answer is the value of A and not B. Let's try the next one
"If $\frac{9x^{2} -x -1}{\left( x^{3} -3 x^{2} -90 x -216\right)}$  can be resolved to partial fractions such that one of the terms in its partial fractions is $\frac{C}{(x+3)}$  , then find the value of C",4,$-\frac{461}{97}$,$\frac{329}{54}$,$\frac{461}{97}$,$\frac{-83}{45}$,4,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> $9x^{2} -x -1 = A(x+6)(x+3) + B(x-12)(x+3) + C(x-12)(x+6)$,Substitute the values of x such that terms A and B are removed from the<br/> equation,7,3,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,The selected answer is the value of B and not C. Let's try the next one,The selected answer is the value of A and not C. Let's try the next one,Your answer is correct! Let's try the next one
"If $\frac{7x^{2} }{\left( x^{3} -11 x^{2} -36 x  + 396\right)}$  can be resolved to partial fractions such that one of the terms in its partial fractions is $\frac{C}{(x-6)}$  , then find the value of C",4,$\frac{847}{85}$,$\frac{-21}{5}$,$\frac{21}{5}$,$\frac{21}{17}$,2,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> $7x^{2}  = A(x-11)(x-6) + B(x+6)(x-6) + C(x+6)(x-11)$,Substitute the values of x such that terms A and B are removed from the<br/> equation,7,3,The selected answer is the value of B and not C. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,The selected answer is the value of A and not C. Let's try the next one
"If $\frac{4x^{2} -10x }{\left( x^{3} -23 x^{2}  + 150 x -216\right)}$  can be resolved to partial fractions such that one of the terms in its partial fractions is $\frac{C}{(x-9)}$  , then find the value of C",4,$\frac{76}{5}$,$\frac{-2}{35}$,$\frac{78}{7}$,$\frac{-78}{7}$,4,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> $4x^{2} -10x  = A(x-12)(x-9) + B(x-2)(x-9) + C(x-2)(x-12)$,Substitute the values of x such that terms A and B are removed from the<br/> equation,7,3,The selected answer is the value of B and not C. Let's try the next one,The selected answer is the value of A and not C. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one
"If $\frac{11x^{2} -4x  + 1}{\left( x^{3}  + 8 x^{2} -16 x -128\right)}$  can be resolved to partial fractions such that one of the terms in its partial fractions is $\frac{C}{(x+8)}$  , then find the value of C",4,$\frac{737}{48}$,$\frac{161}{96}$,$-\frac{737}{48}$,$\frac{-193}{32}$,1,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> $11x^{2} -4x  + 1 = A(x+4)(x+8) + B(x-4)(x+8) + C(x-4)(x+4)$,Substitute the values of x such that terms A and B are removed from the<br/> equation,7,3,Your answer is correct! Let's try the next one,The selected answer is the value of A and not C. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,The selected answer is the value of B and not C. Let's try the next one
"If $\frac{-x^{2}  + 2x }{\left( x^{3}  + 24 x^{2}  + 179 x  + 420\right)}$  can be resolved to partial fractions such that one of the terms in its partial fractions is $\frac{C}{(x+7)}$  , then find the value of C",4,$\frac{63}{10}$,$\frac{-5}{2}$,$\frac{5}{2}$,$\frac{-24}{5}$,1,Ensure that the denominator of the expression is <br/>factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form<br/> $-x^{2}  + 2x  = A(x+5)(x+7) + B(x+12)(x+7) + C(x+12)(x+5)$,Substitute the values of x such that terms A and B are removed from the<br/> equation,7,3,Your answer is correct! Let's try the next one,The selected answer is the value of B and not C. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,The selected answer is the value of A and not C. Let's try the next one
"If  $\frac{-9x^{2} -x -1}{\left( x -10\right) \left( x -6\right) \left( x -6\right)} = \frac{A}{(x-10)} + \frac{B}{(x-6)} + \frac{C}{(x-6)^2}$  , then find the value of A",4,$\frac{767}{16}$,$\frac{331}{4}$,$-\frac{767}{16}$,$\frac{-911}{16}$,4,Rearrange the equation in the form<br/> $-9x^{2} -x -1 = A(x-6)(x-6) + B(x-10)(x-6) + C(x-10)$,Substitute the values of x such that terms B and C are removed from the<br/> equation,"Based on the above hint , you need to substitute the value of x = 10 to get the<br/> value of A",7,1,The selected answer is the value of B and not A. Let's try the next one,The selected answer is the value of C and not A. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one
